Pavadinimas,Metai,Trukme,Filmo indeksas,Ivertinimas pagal zmones,Ivertinimas pagal kritikus,Votes
294. Hereditary,2018,127,R,7.3,87,"363,356"
295. Good Grief,2023,100,R,,,N/A
296. The Killing of a Sacred Deer,2017,121,R,7.0,73,"173,168"
297. Deck the Halls,2006,93,PG,5.0,28,"31,777"
298. Your Christmas or Mine 2,2023,101,,5.8,,651
299. Nativity!,2009,105,PG,6.4,,"11,926"
300. Troy,2004,163,R,7.3,56,"560,632"
301. The Burial,2023,126,R,7.1,74,"25,252"
302. Strays,2023,93,R,6.3,54,"21,587"
303. National Lampoon's Vacation,1983,98,R,7.3,55,"117,928"
304. Back to the Future,1985,116,PG,8.5,87,"1,278,103"
305. Nowhere,2023,109,TV-MA,6.3,,"28,124"
306. Race for Glory: Audi vs. Lancia,2024,N/A,,,,N/A
307. Murder on the Orient Express,2017,114,PG-13,6.5,52,"284,826"
308. Alien: Covenant,2017,122,R,6.4,65,"298,084"
309. A Serbian Film,2010,104,NC-17,5.0,,"69,868"
310. Alien: Romulus,2024,N/A,,,,N/A
311. Elvis,2022,159,PG-13,7.3,64,"220,825"
"312. Are You There God? It's Me, Margaret.",2023,106,PG-13,7.3,84,"18,886"
313. Love Story,1970,100,PG,6.9,84,"36,592"
314. Theater Camp,2023,92,PG-13,7.0,70,"11,612"
315. The Princess Bride,1987,98,PG,8.0,78,"444,276"
316. Aliens,1986,137,R,8.4,84,"750,015"
317. Holidate,2020,104,TV-MA,6.1,44,"75,828"
318. Totally Killer,2023,106,R,6.5,62,"40,974"
319. Pride & Prejudice,2005,129,PG,7.8,82,"321,402"
320. Prisoners,2013,153,R,8.1,70,"783,244"
321. The Exorcist,1973,122,R,8.1,82,"446,068"
322. Wind River,2017,107,R,7.7,73,"273,258"
323. The Lord of the Rings: The Return of the King,2003,201,PG-13,9.0,94,"1,936,964"
324. Your Christmas or Mine?,2022,95,,6.4,,"7,883"
325. The Bikeriders,2023,116,R,7.6,71,967
326. What Happens Later,2023,103,R,5.0,65,"1,352"
327. Greater,2016,130,PG,7.3,35,"7,479"
328. Harry Potter and the Prisoner of Azkaban,2004,142,PG,7.9,82,"675,174"
329. Monster,2023,126,PG-13,8.1,82,"3,797"
330. Scarface,1983,170,18+,8.3,65,"895,756"
331. The Banshees of Inisherin,2022,114,R,7.7,87,"234,950"
332. The Nun II,2023,110,R,5.6,47,"50,223"
333. Evil Dead Rise,2023,96,R,6.5,69,"126,085"
334. The Santa Clause 3: The Escape Clause,2006,92,G,4.8,32,"41,521"
335. The Equalizer,2014,132,R,7.2,57,"407,175"
336. A Man Called Otto,2022,126,PG-13,7.5,51,"143,239"
337. Jurassic Park,1993,127,PG-13,8.2,68,"1,045,060"
338. The Beekeeper,2024,105,R,,,N/A
339. Four Weddings and a Funeral,1994,117,R,7.1,81,"162,435"
340. Harry Potter and the Chamber of Secrets,2002,161,PG,7.4,63,"676,162"
341. Kandahar,2023,119,R,6.1,52,"27,166"
342. Indiana Jones and the Temple of Doom,1984,118,PG,7.5,57,"526,509"
343. Love Hard,2021,104,TV-MA,6.3,42,"59,265"
344. Wicked,2024,N/A,,,,N/A
345. The Green Mile,1999,189,R,8.6,61,"1,376,302"
346. Eternal Sunshine of the Spotless Mind,2004,108,R,8.3,89,"1,056,245"
347. Joy Ride,2023,95,R,6.4,74,"18,108"
348. Godzilla,1954,96,Not Rated,7.5,78,"37,426"
349. Shutter Island,2010,138,R,8.2,63,"1,415,462"
350. Spider-Man: Into the Spider-Verse,2018,117,PG,8.4,87,"644,593"
351. Beverly Hills Cop: Axel Foley,2024,N/A,,,,N/A
352. Australia,2008,165,PG-13,6.6,53,"128,598"
353. 365 Days,2020,114,TV-MA,3.3,,"96,338"
354. Belfast,2021,98,PG-13,7.2,75,"86,588"
355. Noelle,2019,100,G,6.3,48,"25,458"
356. The Lost City,2022,112,PG-13,6.1,60,"147,629"
357. Sisu,2022,91,R,6.9,70,"63,209"
358. Get Out,2017,104,R,7.8,85,"672,925"
359. Star Wars: Episode IV - A New Hope,1977,121,PG,8.6,90,"1,425,590"
360. Frozen,2013,102,PG,7.4,75,"652,880"
361. Twilight,2008,122,PG-13,5.3,56,"480,639"
362. The Favourite,2018,119,R,7.5,91,"215,527"
363. A Boy Called Christmas,2021,106,PG,6.7,61,"25,447"
364. Jeanne du Barry,2023,113,,6.7,51,"8,273"
365. The Dark Knight Rises,2012,164,PG-13,8.4,78,"1,792,324"
366. Tenet,2020,150,PG-13,7.3,69,"570,797"
367. Oldboy,2003,120,R,8.4,78,"618,860"
368. The Meg,2018,113,PG-13,5.6,46,"202,427"
369. The Sacrifice Game,2023,90,,5.5,54,551
